category,mouse_id,picture_id,IntDen
BHB,LG355_204_BHB,LG355_204_BHB_1,9.865401574803158e-06
BHB,LG355_204_BHB,LG355_204_BHB_2,1.2389619047619052e-05
BHB,LG355_204_BHB,LG355_204_BHB_3,1.2027232558139536e-05
BHB,LG355_204_BHB,LG355_204_BHB_4,1.1441655913978494e-05
CTRL,LG355_206_CTRL,LG355_206_CTRL_1,6.818140449438198e-06
CTRL,LG355_206_CTRL,LG355_206_CTRL_2,5.806836257309948e-06
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,7.85484974093264e-06
CTRL,LG355_206_CTRL,LG355_206_CTRL_4,3.4884409221902067e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_1,5.447969924812039e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_2,6.1978496240601535e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_3,5.765543478260873e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_4,4.869583850931683e-06
CTRL,LG355_208_CTRL,LG355_208_CTRL_1,5.120403061224495e-06
CTRL,LG355_208_CTRL,LG355_208_CTRL_2,8.446671428571426e-06
CTRL,LG355_208_CTRL,LG355_208_CTRL_3,1.4236943396226414e-05
CTRL,LG355_208_CTRL,LG355_208_CTRL_4,4.882644578313259e-06
BHB,LG355_210_BHB,LG355_210_BHB_1,1.1659626168224296e-05
BHB,LG355_210_BHB,LG355_210_BHB_2,1.1669728571428575e-05
BHB,LG355_210_BHB,LG355_210_BHB_3,7.4372708333333374e-06
BHB,LG355_210_BHB,LG355_210_BHB_4,1.3732658730158733e-05
BHB,LG875_43_BHB,LG875_43_BHB_1,2.3512432432432415e-06
BHB,LG875_43_BHB,LG875_43_BHB_2,2.295472727272728e-06
BHB,LG875_43_BHB,LG875_43_BHB_3,3.092012195121954e-06
BHB,LG875_43_BHB,LG875_43_BHB_4,4.4793333333333356e-06
BHB,LG875_44_BHB,LG875_44_BHB_1,7.470726315789481e-06
BHB,LG875_44_BHB,LG875_44_BHB_2,4.20893442622951e-06
BHB,LG875_44_BHB,LG875_44_BHB_3,4.938706896551727e-06
BHB,LG875_44_BHB,LG875_44_BHB_4,6.6072807017543925e-06
CTRL,LG875_46_CTRL,LG875_46_CTRL_1,5.719697674418582e-06
CTRL,LG875_46_CTRL,LG875_46_CTRL_2,4.286120603015081e-06
CTRL,LG875_46_CTRL,LG875_46_CTRL_3,9.566488111888114e-06
CTRL,LG875_46_CTRL,LG875_46_CTRL_4,7.477156626506025e-06
CTRL,LG875_47_CTRL,LG875_47_CTRL_1,4.887535714285714e-06
CTRL,LG875_47_CTRL,LG875_47_CTRL_2,1.156285e-05
CTRL,LG875_47_CTRL,LG875_47_CTRL_3,6.57215853658537e-06
CTRL,LG875_47_CTRL,LG875_47_CTRL_4,4.420348484848487e-06
