mouse_id,category,picture_id,num_aggregates
LG355_204_BHB,BHB,LG355_204_BHB_1,127
LG355_204_BHB,BHB,LG355_204_BHB_2,84
LG355_204_BHB,BHB,LG355_204_BHB_3,86
LG355_204_BHB,BHB,LG355_204_BHB_4,93
LG355_206_CTRL,CTRL,LG355_206_CTRL_1,178
LG355_206_CTRL,CTRL,LG355_206_CTRL_2,171
LG355_206_CTRL,CTRL,LG355_206_CTRL_3,193
LG355_206_CTRL,CTRL,LG355_206_CTRL_4,347
LG355_207_CTRL,CTRL,LG355_207_CTRL_1,133
LG355_207_CTRL,CTRL,LG355_207_CTRL_2,133
LG355_207_CTRL,CTRL,LG355_207_CTRL_3,184
LG355_207_CTRL,CTRL,LG355_207_CTRL_4,161
LG355_208_6.5_CTRL,CTRL,LG355_208_6.5_CTRL_1,196
LG355_208_6.5_CTRL,CTRL,LG355_208_6.5_CTRL_2,70
LG355_208_6.5_CTRL,CTRL,LG355_208_6.5_CTRL_3,53
LG355_208_6.5_CTRL,CTRL,LG355_208_6.5_CTRL_4,166
LG355_210_6.5_BHB,BHB,LG355_210_6.5_BHB_1,107
LG355_210_6.5_BHB,BHB,LG355_210_6.5_BHB_2,70
LG355_210_6.5_BHB,BHB,LG355_210_6.5_BHB_3,96
LG355_210_6.5_BHB,BHB,LG355_210_6.5_BHB_4,126
LG875_43_BHB,BHB,LG875_43_BHB_1,37
LG875_43_BHB,BHB,LG875_43_BHB_2,55
LG875_43_BHB,BHB,LG875_43_BHB_3,82
LG875_43_BHB,BHB,LG875_43_BHB_4,54
LG875_44_BHB,BHB,LG875_44_BHB_1,190
LG875_44_BHB,BHB,LG875_44_BHB_2,122
LG875_44_BHB,BHB,LG875_44_BHB_3,116
LG875_44_BHB,BHB,LG875_44_BHB_4,228
LG875_46_6.5_CTRL,CTRL,LG875_46_6.5_CTRL_1,258
LG875_46_6.5_CTRL,CTRL,LG875_46_6.5_CTRL_2,199
LG875_46_6.5_CTRL,CTRL,LG875_46_6.5_CTRL_3,143
LG875_46_6.5_CTRL,CTRL,LG875_46_6.5_CTRL_4,166
LG875_47_6.5_CTRL,CTRL,LG875_47_6.5_CTRL_1,28
LG875_47_6.5_CTRL,CTRL,LG875_47_6.5_CTRL_2,20
LG875_47_6.5_CTRL,CTRL,LG875_47_6.5_CTRL_3,82
LG875_47_6.5_CTRL,CTRL,LG875_47_6.5_CTRL_4,66
